Issue Type,Issue Id,Parent Id,Epic Name,Epic Link,Summary,Description,Priority,Story Points,Status,Labels,Component
Epic,PG-600,,Compliance Framework Manager,,Multi-framework controls & conformity scoring,"Multi-framework governance interface for onboarding regulatory standards, answering per-control assessments, tracking compliance scores, and linking evidence to controls.",High,,In Progress,"ai-governance,frameworks,compliance",AI Governance
Story,PG-601,,,Compliance Framework Manager,Multi-framework onboarding & configuration,"Admin activates EU AI Act, ISO 42001, ISO 27001, NIST AI RMF; each framework gets a dedicated dashboard; deactivation preserves history.",High,3,Done,"ai-governance,frameworks",AI Governance
Story,PG-602,,,Compliance Framework Manager,Control questionnaire & assessment engine,"Per-control questions with response options (Compliant/Partial/Non-Compliant/N/A), evidence slots, reviewer notes, and bulk status update.",High,5,Done,"ai-governance,frameworks",AI Governance
Sub-task,PG-602-1,PG-602,,,Control response history (who changed what when),Log every response change with actor and timestamp for audit trail.,Medium,,Done,,AI Governance
Sub-task,PG-602-2,PG-602,,,Partial-credit weighting configuration,Allow org-level weighting of Partial responses in score calculation.,Low,,Done,,AI Governance
Story,PG-603,,,Compliance Framework Manager,Compliance score calculation & readiness dashboard,"Weighted compliance % per framework, per-domain breakdown, RAG readiness bands, and 6-snapshot trend chart.",High,3,Done,"ai-governance,frameworks",AI Governance
Sub-task,PG-603-1,PG-603,,,Readiness band threshold configuration,Make Red/Amber/Green thresholds configurable per org.,Low,,Done,,AI Governance
Story,PG-604,,,Compliance Framework Manager,Control-to-evidence linking,"Link Evidence Hub files to controls; set sufficiency flag (Sufficient/Insufficient/Pending); expiry alerts when linked evidence approaches expiry.",High,3,Done,"ai-governance,frameworks,evidence",AI Governance
Sub-task,PG-604-1,PG-604,,,Evidence expiry alert emails,Send email to reviewer when linked evidence is 30 days from expiry.,Medium,,Done,,AI Governance
Story,PG-605,,,Compliance Framework Manager,Core Governance OS — cross-framework control mapping,"Bidirectional control mappings across active frameworks; unified coverage view; gap analysis listing controls with no mapping and no evidence.",High,5,Done,"ai-governance,frameworks",AI Governance
Sub-task,PG-605-1,PG-605,,,Control gap analysis export,Export gap analysis as CSV for external review.,Medium,,Done,,AI Governance
Story,PG-606,,,Compliance Framework Manager,Conformity assessment report auto-generation,"Auto-generate PDF reports from assessment responses; EU AI Act Annex IV structure; ISO 42001 and NIST AI RMF templates; versioned and archived.",High,5,To Do,"ai-governance,frameworks,reporting",AI Governance
