Issue Type,Issue Id,Parent Id,Epic Name,Epic Link,Summary,Description,Priority,Story Points,Status,Labels,Component
Epic,PG-100,,LLM Gateway Core,,Single OpenAI-compatible endpoint for all model calls,"Provider abstraction, per-key scoping, budgets and rate limits so apps point at one governed URL instead of providers directly.",High,,In Progress,"ai-gateway,core",AI Gateway
Story,PG-101,,,LLM Gateway Core,Provider API key management,"Add/list/delete provider keys (OpenAI, Anthropic, Gemini, Mistral, xAI, OpenRouter); AES-256 encrypted at rest; plaintext never returned after creation.",High,3,Done,ai-gateway,AI Gateway
Story,PG-102,,,LLM Gateway Core,Endpoint configuration (slug -> provider/model/key),Bind provider+model+API key under a slug; slug is the client-facing model. Model in LiteLLM format.,High,3,Done,ai-gateway,AI Gateway
Story,PG-103,,,LLM Gateway Core,Virtual key issuance & scoping,"Issue sk-vw- keys decoupled from provider keys; per-key allowed endpoints, model/provider ACLs, budget, rate limit; shown once, SHA-256 stored.",High,3,Done,ai-gateway,AI Gateway
Story,PG-104,,,LLM Gateway Core,OpenAI-compatible proxy (chat + embeddings),Proxy /v1/chat/completions and /v1/embeddings via LiteLLM; streaming and non-streaming.,High,5,Done,ai-gateway,AI Gateway
Sub-task,PG-104-1,PG-104,,,tools/tool_choice passthrough,Forward tool definitions so agents can do tool-calling through the gateway.,Medium,,Done,,AI Gateway
Sub-task,PG-104-2,PG-104,,,Fallback chains,Fail over to a fallback endpoint on provider error.,Medium,,Done,,AI Gateway
Story,PG-105,,,LLM Gateway Core,Budgets & rate limits,Per-org/per-key spend caps (402) and request limits (429); monthly budget reset; rejections logged.,Medium,3,Done,ai-gateway,AI Gateway
Story,PG-106,,,LLM Gateway Core,Provider expansion: Azure / Vertex / Bedrock,"Support multi-field provider credentials (Azure endpoint+version+deployment, Vertex project+location+SA JSON, Bedrock keys+region).",High,8,To Do,ai-gateway,AI Gateway
Epic,PG-200,,MCP Gateway,,Proxy & audit every agent tool call,"Govern what agents do (tools), not just what they say (LLM), through registered MCP servers with agent-key auth and a full audit trail.",High,,In Progress,"ai-gateway,mcp,agents",AI Gateway
Story,PG-201,,,MCP Gateway,Register upstream MCP servers,"Admin registers Streamable-HTTP MCP servers (name, slug, url, auth_type); per-server health status.",High,3,Done,ai-gateway,AI Gateway
Story,PG-202,,,MCP Gateway,Tool discovery,Discover calls tools/list and upserts tools into the registry; deactivates removed tools.,Medium,2,Done,ai-gateway,AI Gateway
Story,PG-203,,,MCP Gateway,Agent key issuance & ACLs,"sk-mcp- keys with allowed/blocked tools, allowed servers, rate limit; shown once, SHA-256 stored.",High,3,Done,ai-gateway,AI Gateway
Story,PG-204,,,MCP Gateway,Tool-call proxy /v1/mcp,"Streamable-HTTP JSON-RPC (initialize, tools/list, tools/call) proxied to the correct backend with session management.",High,5,Done,ai-gateway,AI Gateway
Sub-task,PG-204-1,PG-204,,,Fix MCP session Redis connection,Set REDIS_URL so MCP sessions work in Docker (was defaulting to localhost).,High,,Done,,AI Gateway
Story,PG-205,,,MCP Gateway,Tool-call audit,"Log every tool call (tool, agent key, args, result status, latency); stats by-tool and by-agent.",Medium,3,Done,ai-gateway,AI Gateway
